"iBAQ.Mrpl4_1"	"iBAQ.Mrpl4_2"	"iBAQ.Mrpl4_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
770520	1207700	1010400	0	0	0	82	"A5Z2X5"	"YPR010C-A"
114070	80945	134780	0	0	0	99	"P40156"	"RRG9"
2198400	998140	760490	0	0	0	107	"Q02888"	"INA17"
91661	129070	0	0	0	0	110	"C8ZCI0"	"MIC60"
91675	94831	106500	0	0	0	112	"P46943"	"GUF1"
2109900	1422800	1566300	0	0	0	126	"P00127"	"QCR6"
1054800	1064400	894300	0	0	0	137	"P00445"	"SOD1"
0	273340	267600	0	0	0	184	"P06182"	"CYC3"
0	6304.6	37059	0	0	0	194	"P07252"	"CBP1"
32601	0	9385.4	0	0	0	273	"P14905"	"CBS2"
0	0	117300	0	0	0	296	"P19516"	"COX11"
355000	740320	469770	0	0	0	321	"P23833"	"SCO1"
106490	57047	42091	0	0	0	331	"P25379"	"CHA1"
51637	0	0	0	0	0	357	"P30775"	"MRF1"
119140	0	0	0	0	0	377	"P32522"	"PET309"
502170	624640	0	0	0	0	505	"P40513"	"MAM33"
0	0	17007	0	0	0	523	"P46655"	"GUS1"
752390	0	0	0	0	0	527	"P46998"	"FMP33"
0	200450	0	0	0	0	568	"P53266"	"SHY1"
421180	1286700	1042500	0	0	0	602	"Q01519"	"COX12"
98330	0	0	0	0	0	640	"Q04458"	"HFD1"
114130	497230	409720	0	0	0	645	"Q05473"	"YDR336W"
0	1649500	0	0	0	0	679	"Q12165"	"ATP16"
